codigo,Hombres,Mujeres,No identificada,Sector público,Sector privado,No identificada1,Sociedad,Estado,Otro,No identificada11
01.01,1,1,1,0,0,0,0,0,0,0
01.02,0,1,0,0,0,0,0,0,0,0
01.03,1,1,1,0,0,0,0,0,0,0
01.04,1,1,1,0,0,0,0,0,0,0
01.99,1,1,1,0,0,0,0,0,0,0
02.01,1,1,1,0,0,0,0,0,0,0
02.02,1,1,1,0,0,0,0,0,0,0
02.03,1,1,1,0,0,0,0,0,0,0
02.04,1,1,1,0,0,0,0,0,0,0
02.05,1,1,1,0,0,0,0,0,0,0
02.06,1,1,1,0,0,0,0,0,0,0
02.06.01,1,1,1,0,0,0,0,0,0,0
02.06.02,1,1,1,0,0,0,0,0,0,0
02.06.03,1,1,1,0,0,0,0,0,0,0
02.06.04,1,1,1,0,0,0,0,0,0,0
02.06.99,1,1,1,0,0,0,0,0,0,0
02.06.00,1,1,1,0,0,0,0,0,0,0
02.99,1,1,1,0,0,0,0,0,0,0
03.01,1,1,1,0,0,0,0,0,0,0
03.02,1,1,1,0,0,0,0,0,0,0
03.03,1,1,1,0,0,0,0,0,0,0
03.04,1,1,1,0,0,0,0,0,0,0
03.04.01,1,1,1,0,0,0,0,0,0,0
03.04.02,1,1,1,0,0,0,0,0,0,0
03.04.03,1,1,1,0,0,0,0,0,0,0
03.04.99,1,1,1,0,0,0,0,0,0,0
03.04.00,1,1,1,0,0,0,0,0,0,0
03.05,1,1,1,0,0,0,0,0,0,0
03.06,1,1,1,0,0,0,0,0,0,0
03.99,1,1,1,0,0,0,0,0,0,0
04.01,1,1,1,1,1,1,0,1,0,1
04.01.01,1,1,1,1,1,1,0,1,0,1
04.01.02,1,1,1,0,1,0,0,0,0,0
04.01.03,1,1,1,1,1,1,0,1,0,1
04.01.04,1,1,1,1,1,1,0,1,0,1
04.01.05,1,1,1,0,0,0,0,0,0,0
04.01.06,1,1,1,0,0,0,0,0,0,0
04.01.07,1,1,1,0,0,0,0,0,0,0
04.01.08,1,1,1,1,1,1,0,1,0,1
04.01.09,1,1,1,0,1,0,0,0,0,0
04.01.10,1,1,1,0,1,0,0,0,0,0
04.01.11,1,1,1,0,1,0,0,0,0,0
04.01.12,1,1,1,1,1,1,0,1,0,1
04.01.13,1,1,1,1,1,1,0,1,0,1
04.01.14,1,1,1,1,1,1,0,1,0,1
04.01.15,1,1,1,1,1,1,0,1,0,1
04.01.16,1,1,1,1,1,1,0,1,0,1
04.01.99,1,1,1,1,1,1,0,1,0,1
04.01.00,1,1,1,1,1,1,0,1,0,1
04.02,0,0,0,1,1,1,0,1,0,1
04.02.01,0,0,0,1,1,1,0,1,0,1
04.02.02,0,0,0,1,1,1,0,1,0,1
04.02.03,0,0,0,1,1,1,0,1,0,1
04.02.99,0,0,0,1,1,1,0,1,0,1
04.02.00,0,0,0,1,1,1,0,1,0,1
04.03,1,1,1,1,1,1,0,1,0,1
04.04,1,1,1,1,1,1,0,1,0,1
04.05,1,1,1,0,1,0,0,0,0,0
04.05.01,1,1,1,0,1,0,0,0,0,0
04.05.99,1,1,1,0,1,0,0,0,0,0
04.05.00,1,1,1,0,1,0,0,0,0,0
04.06,1,1,1,1,1,1,0,1,0,1
04.07,1,1,1,1,1,1,0,1,0,1
04.99,1,1,1,1,1,1,0,1,0,1
05.01,1,1,1,0,0,0,0,0,0,0
05.02,1,1,1,0,0,0,0,0,0,0
05.99,1,1,1,0,0,0,0,0,0,0
06.01,1,1,1,0,0,0,0,0,0,0
06.01.01,1,1,1,0,0,0,0,0,0,0
06.01.02,1,1,1,0,0,0,0,0,0,0
06.01.03,1,1,1,0,0,0,0,0,0,0
06.01.04,1,1,1,0,0,0,0,0,0,0
06.01.05,1,1,1,0,0,0,0,0,0,0
06.01.99,1,1,1,0,0,0,0,0,0,0
06.01.00,1,1,1,0,0,0,0,0,0,0
06.02,1,1,1,0,0,0,0,0,0,0
06.02.01,1,1,1,0,0,0,0,0,0,0
06.02.02,1,1,1,0,0,0,0,0,0,0
06.02.03,1,1,1,0,0,0,0,0,0,0
06.02.99,1,1,1,0,0,0,0,0,0,0
06.02.00,1,1,1,0,0,0,0,0,0,0
06.03,1,1,1,0,0,0,0,0,0,0
06.04,1,1,1,0,0,0,0,0,0,0
06.05,1,1,1,0,0,0,0,0,0,0
06.99,1,1,1,0,0,0,0,0,0,0
07.01,0,0,0,0,0,0,1,0,1,1
07.01.01,0,0,0,0,0,0,1,0,1,1
07.01.02,0,0,0,0,0,0,1,0,1,1
07.01.03,0,0,0,0,0,0,1,0,1,1
07.01.04,0,0,0,0,0,0,1,0,1,1
07.01.99,0,0,0,0,0,0,1,0,1,1
07.01.00,0,0,0,0,0,0,1,0,1,1
07.02,0,0,0,0,0,0,1,0,1,1
07.02.01,0,0,0,0,0,0,1,0,1,1
07.02.02,0,0,0,0,0,0,1,0,1,1
07.02.03,0,0,0,0,0,0,1,0,1,1
07.02.04,0,0,0,0,0,0,1,0,1,1
07.02.05,0,0,0,0,0,0,1,0,1,1
07.02.06,0,0,0,0,0,0,1,0,1,1
07.02.99,0,0,0,0,0,0,1,0,1,1
07.02.00,0,0,0,0,0,0,1,0,1,1
07.03,0,0,0,1,0,0,1,1,1,1
07.04,0,0,0,0,0,0,1,0,1,1
07.05,0,0,0,1,0,0,1,1,1,1
07.06,0,0,0,1,0,0,1,1,1,1
07.06.01 ,0,0,0,1,0,0,1,1,1,1
07.06.02 ,0,0,0,1,0,0,1,1,1,1
07.06.03 ,0,0,0,1,0,0,1,1,1,1
07.06.04 ,0,0,0,1,0,0,1,1,1,1
07.06.99 ,0,0,0,1,0,0,1,1,1,1
07.06.00,0,0,0,1,0,0,1,1,1,1
07.07,0,0,0,1,0,0,1,1,1,1
07.08,0,0,0,1,0,0,1,1,1,1
07.99,1,1,1,1,0,0,1,1,1,1
08.01,1,1,1,1,0,0,1,1,1,1
08.01.01,1,1,1,1,0,0,1,1,1,1
08.01.02,1,1,1,1,0,0,1,1,1,1
08.01.03,0,0,0,1,0,0,1,1,1,1
08.01.04,0,0,0,1,0,0,1,1,1,1
08.01.05,0,0,0,1,0,0,1,1,1,1
08.01.06,0,0,0,1,0,0,1,1,1,1
08.01.07,0,0,0,1,0,0,1,1,1,1
08.01.99,1,1,1,1,0,0,1,1,1,1
08.01.00,1,1,1,1,0,0,1,1,1,1
08.02,0,0,0,1,0,0,1,1,1,1
08.02.01,0,0,0,1,0,0,1,1,1,1
08.02.99,0,0,0,1,0,0,1,1,1,1
08.02.00,0,0,0,1,0,0,1,1,1,1
08.03,0,0,0,1,0,0,1,1,1,1
08.04,1,1,1,1,0,0,1,1,1,1
08.99,1,1,1,1,1,1,1,1,1,1
09.01,1,1,1,0,0,0,0,0,0,0
09.02,1,1,1,0,1,0,0,0,0,0
09.03,1,1,1,1,1,1,1,1,0,1
09.04,1,1,1,1,1,1,1,1,1,1
09.05,1,1,1,1,1,1,1,1,1,1
09.05.01,1,1,1,1,1,1,1,1,1,1
09.05.02,1,1,1,1,1,1,1,1,1,1
09.05.03,1,1,1,1,1,1,1,1,1,1
09.05.04,1,1,1,1,1,1,1,1,1,1
09.05.05,1,1,1,1,1,1,1,1,1,1
09.05.99,1,1,1,1,1,1,1,1,1,1
09.05.00,1,1,1,1,1,1,1,1,1,1
09.06,1,1,1,1,1,1,1,1,1,1
09.07,1,1,1,1,0,0,0,1,0,1
09.07.01,1,1,1,1,0,0,0,1,0,1
09.07.99,1,1,1,1,0,0,0,1,0,1
09.07.00,1,1,1,1,0,0,0,1,0,1
09.08,1,1,1,1,1,1,0,1,1,1
09.09,1,1,1,1,1,1,0,1,0,1
09.10,1,1,1,1,1,1,0,1,0,1
09.11,1,1,1,1,0,0,1,1,1,1
09.12,0,0,0,1,0,0,1,1,1,1
09.13,0,0,0,1,0,0,0,1,1,1
09.14,1,1,1,0,0,0,0,0,0,0
09.15,1,1,1,1,1,1,0,1,1,0
09.16,1,1,1,1,1,1,0,1,0,1
09.16.01,1,1,1,1,1,1,0,1,0,1
09.16.02,1,1,1,1,1,1,0,1,0,1
09.16.03,1,1,1,1,1,1,0,1,0,1
09.16.99,1,1,1,1,1,1,0,1,0,1
09.16.00,1,1,1,1,1,1,0,1,0,1
09.17,1,1,1,0,0,0,0,0,0,0
09.99,1,1,1,1,1,1,1,1,1,1
